"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 04 11:22:48 EEST 2022","Thu Aug 04 11:22:50 EEST 2022","1406","chromium","demo-todo-app.spec.js","New Todo","","","should show #main and #footer when items added",""
"broken","Fri Aug 05 12:28:04 EEST 2022","Fri Aug 05 12:28:35 EEST 2022","30174","chromium","redmine.spec.js","Password recovery","","","5",""
"passed","Fri Aug 05 17:39:52 EEST 2022","Fri Aug 05 17:40:03 EEST 2022","11512","chromium","redmine.spec.js","Password recovery","","","Submiting to recover password",""
"passed","Thu Aug 04 11:23:10 EEST 2022","Thu Aug 04 11:23:12 EEST 2022","2404","chromium","demo-todo-app.spec.js","Routing","","","should allow me to display all items",""
"passed","Thu Aug 04 11:23:06 EEST 2022","Thu Aug 04 11:23:08 EEST 2022","1776","chromium","demo-todo-app.spec.js","Routing","","","should allow me to display active items",""
"passed","Fri Aug 05 17:39:57 EEST 2022","Fri Aug 05 17:40:06 EEST 2022","9140","chromium","redmine.spec.js","Sighn in","","","Filling   inputs fields",""
"broken","Fri Aug 05 12:28:09 EEST 2022","Fri Aug 05 12:28:41 EEST 2022","32153","chromium","redmine.spec.js","Password recovery","","","6",""
"passed","Fri Aug 05 12:27:55 EEST 2022","Fri Aug 05 12:28:00 EEST 2022","5402","chromium","redmine.spec.js","Password recovery","","","1",""
"passed","Thu Aug 04 11:22:55 EEST 2022","Thu Aug 04 11:22:57 EEST 2022","2522","chromium","demo-todo-app.spec.js","Item","","","should allow me to edit an item",""
"passed","Thu Aug 04 11:22:43 EEST 2022","Thu Aug 04 11:22:48 EEST 2022","4846","chromium","demo-todo-app.spec.js","New Todo","","","should allow me to add todo items",""
"passed","Thu Aug 04 11:22:59 EEST 2022","Thu Aug 04 11:23:01 EEST 2022","1817","chromium","demo-todo-app.spec.js","Editing","","","should trim entered text",""
"passed","Thu Aug 04 11:23:06 EEST 2022","Thu Aug 04 11:23:07 EEST 2022","1776","chromium","demo-todo-app.spec.js","Persistence","","","should persist its data",""
"passed","Thu Aug 04 11:23:02 EEST 2022","Thu Aug 04 11:23:05 EEST 2022","2060","chromium","demo-todo-app.spec.js","Clear completed button","","","should display the correct text",""
